state_id,n_actions,mean_Q,min_Q,median_Q,top3_Q,sd_Q,min_stability_mean,min_stability_sd,between_action_var,within_action_var,variance_ratio,f_stat,f_pvalue
0,295,143.27610169491527,130.1,143.4,132.20000000000002,4.257677745619239,131.81666666666666,1.4969413259487951,18.127819785541327,287.8343710972346,0.06298003854243484,1.2596007708487027,0.0021894882455285613
1,295,155.9042372881356,142.1,156.3,143.21666666666667,4.593124558381686,141.35,1.0897247358851685,21.096793208808958,294.6076271186441,0.0716097998383215,1.432195996766429,3.2629125684660396e-06
2,295,140.42271186440678,127.05,140.15,128.11666666666665,4.8315969777570436,127.73333333333333,1.4056433876817152,23.344329355471,363.72151650312225,0.06418187623296849,1.283637524659371,0.0010019278197080288
3,295,148.0057627118644,135.5,147.95,136.33333333333334,4.74453326786707,134.83333333333334,0.8693867570496693,22.51059592989738,311.6562890276539,0.07222891602838784,1.4445783205677554,1.898842532847126e-06
4,295,141.13932203389834,126.85,140.95,128.48333333333332,4.981757149912401,125.88333333333333,1.7177989793143207,24.817904300703322,422.9202854594112,0.05868222725174804,1.173644545034961,0.02478995886867211
5,295,139.64389830508475,124.45,139.5,125.36666666666667,4.701799487961722,127.63333333333333,2.7569608871605897,22.106918424997115,333.42696699375557,0.06630213094134985,1.326042618826997,0.0002275774999211252
6,295,144.8913559322034,130.55,144.75,132.5,4.6397463782532355,131.98333333333332,1.5044378795195683,21.527246454514014,340.1108206958073,0.06329480023738447,1.2658960047476897,0.0017916233727057833
7,295,121.16796610169493,109.45,121.35,109.66666666666667,4.213625767399204,109.13333333333333,0.4645786621588814,17.754642107690533,350.1747100802855,0.050702239758033577,1.0140447951606721,0.4244450694716885
8,295,99.38152542372882,88.2,99.7,88.61666666666667,4.139517049930386,88.0,0.5766281297335446,17.135601406664364,333.42031222123103,0.05139339379927924,1.0278678759855826,0.362603170332703
9,295,107.4906779661017,98.25,107.25,98.96666666666665,3.871644636567229,95.05,3.834383914007569,14.98963219185979,276.88982158786797,0.054135728449313886,1.0827145689862778,0.16460758841640724
10,295,96.61067796610169,84.55,96.6,85.05,4.363708505359972,84.81666666666668,0.378593889720018,19.041951919750954,340.2833273862622,0.05595910932813956,1.1191821865627907,0.08401082148570196
11,295,148.0759322033898,131.05,147.85,135.86666666666667,5.022997830605976,132.76666666666665,1.9263523388345394,25.23050720627234,373.30929527207854,0.06758606744009313,1.351721348801862,8.722902662705581e-05
12,295,68.98745762711864,58.9,68.95,59.18333333333334,3.935156210204194,58.51666666666667,0.7973915809270437,15.485454398708637,263.1872613737734,0.058838160775253084,1.17676321550506,0.02294028874513484
13,295,128.7249152542373,114.05,128.5,115.55,4.797293870421979,113.96666666666665,0.10408329997330869,23.01402847918829,332.2301605709188,0.06927134020475437,1.3854268040950872,2.3165934268392063e-05
14,295,140.67050847457628,123.45,140.65,125.01666666666667,5.3346698231030745,123.2,2.6837473800639255,28.458702121526585,482.96633363068696,0.05892481554063826,1.178496310812765,0.021964999971378376
15,295,83.29593220338982,74.45,83.15,74.61666666666667,3.959821647294381,72.83333333333333,1.8936296716447323,15.680187478381184,256.35821587867974,0.0611651451256852,1.2233029025137043,0.006556576590700975
16,295,25.21457627118644,24.0,25.25,24.0,0.2270584002456265,24.0,0.0,0.05155551712210312,0.18041034790365748,0.2857680710733662,5.7153614214673185,7.0824638845613e-162
17,295,145.65406779661015,133.6,146.05,133.71666666666667,5.268622662261244,131.01666666666665,2.76511000383951,27.758384757292752,352.1330330062444,0.07882925529681992,1.576585105936397,3.4614382769197975e-09
18,295,155.8322033898305,141.7,155.8,142.91666666666666,4.989711887513811,141.21666666666667,0.7942501704962485,24.897224720396636,288.76899197145406,0.08621848402219662,1.724369680443934,1.0689725950508299e-12
19,295,151.77050847457627,138.9,151.85,139.73333333333332,4.661516870772062,137.58333333333334,1.1536174987114851,21.729739536492563,312.7608206958073,0.06947717904099955,1.389543580819991,1.9602723927817177e-05
20,295,155.66661016949152,142.45,155.9,143.16666666666666,4.816861544266238,143.81666666666666,1.2003471720020604,23.202155136630928,293.68323818019627,0.07900401562037633,1.5800803124075282,2.8928192244214584e-09
21,295,149.80542372881357,136.5,149.85,137.08333333333334,5.113547872431891,136.41666666666666,1.5766525721709579,26.148371843652715,336.7986083853702,0.07763800441162555,1.5527600882325097,1.157253332453056e-08
22,295,25.208644067796612,24.0,25.25,24.0,0.22753079799846554,24.0,0.0,0.05177026403781853,0.17658340767172168,0.2931773982641807,5.863547965283592,6.857080146270002e-168
23,295,154.28779661016947,142.15,154.35,143.23333333333332,4.582023090813748,141.75,0.4582575694955859,20.994935604750374,294.36843889384477,0.07132196536980506,1.4264393073961017,4.183602138707458e-06
24,295,67.65542372881357,56.8,67.65,57.4,3.9846244977250245,56.31666666666666,0.4252450274057678,15.877232387870404,313.0887332738626,0.050711605690334415,1.014232113806688,0.42358664764654186
25,295,151.75881355932202,138.25,151.6,139.61666666666667,4.732079365161035,138.9,0.7053367989832965,22.392575118182865,281.1845584299732,0.07963657479348944,1.592731495869788,1.503307156127207e-09
26,295,156.2308474576271,141.35,156.0,143.33333333333334,4.804824774755835,142.86666666666665,1.9379972480200724,23.086341116107455,306.5266547725245,0.07531593339978862,1.5063186679957725,1.1182167631921516e-07
27,295,93.97610169491524,82.2,94.1,82.95,4.843966377023256,80.55,1.5596473960482267,23.46401026173181,394.05446030330063,0.05954509496903485,1.1909018993806975,0.015977369317718995
28,295,146.81644067796609,130.2,146.95,133.06666666666666,4.917642389996521,131.75,1.4239030865898217,24.183206675890695,286.7726940231936,0.08432883318359037,1.6865766636718071,9.261036695272837e-12
29,295,140.52,126.65,140.15,127.7,4.583266666181812,126.88333333333333,1.6127099346544975,21.006333333333338,356.1968599464764,0.05897394305073277,1.1794788610146558,0.021428218854763866
30,295,128.35406779661017,115.65,128.2,117.75,4.410562506987181,115.38333333333333,0.27537852736431095,19.45306162804105,406.95224799286353,0.0478018286518525,0.9560365730370501,0.692254406518795
31,295,85.91152542372882,74.6,86.05,75.48333333333333,4.176479253831482,75.35000000000001,1.386542462386208,17.44297895768477,310.71776984834975,0.05613769359312171,1.1227538718624344,0.07816063574766273
32,295,44.42830508474577,39.05,44.3,39.25,2.278732754807198,39.06666666666666,0.22546248764114268,5.192622967831201,94.38074041034791,0.05501782403120331,1.1003564806240638,0.12064538813520993
33,295,143.44830508474573,130.4,143.15,131.71666666666667,4.7372076768148315,129.04999999999998,2.209637979398437,22.441136573273372,366.08409455842997,0.061300495997625444,1.2260099199525092,0.006063157177781662
34,295,94.74491525423728,84.15,94.7,84.85,3.9018996650599673,83.60000000000001,0.5267826876426428,15.224820996195085,262.99895628902766,0.0578892829500946,1.157785659001893,0.03630944244770216
35,295,25.208983050847458,24.0,25.25,24.0,0.2259047938894288,24.0,0.0,0.05103297590222531,0.17756467439785906,0.2874050036995457,5.748100073990945,3.320235499053122e-163
36,295,140.708813559322,126.1,140.9,127.0,4.634223505522284,127.28333333333335,1.7552302792891197,21.476027499135245,379.78817127564673,0.05654738384031488,1.1309476768062963,0.0659545410449911
