vn_name,target,pearson_r,pearson_p,spearman_r,spearman_p,n
exp20_L0,mean(Q),0.9801188821659186,2.2417810394174946e-35,0.9835562119023883,2.447255400706882e-37,50
exp20_L0,min(Q),0.9851706657771288,2.086177069383749e-38,0.9832659765289815,3.7122824728868952e-37,50
exp20_L0,median(Q),0.9802446063153399,1.927875189689055e-35,0.983817741122647,1.6704647539439878e-37,50
exp20_L0,top-3 mean(Q),0.9846918305074583,4.449157932900643e-38,0.9841315698961023,1.0476805848934973e-37,50
