rank,label,cnot_mean,cnot_std,cnot_min,cnot_max,depth_mean,depth_std,runtime_mean,runtime_std,nodes_mean,nodes_std,success_rate,train_r2,train_mae,train_rmse,train_pearson,train_time_s
1,Random Mean,8.8,0.8366600265340756,8.0,10.0,11.8,0.8366600265340756,0.048470279999310154,0.0017149722274257017,501.0,0.0,100.0,0.9981861968873913,0.11145948696136475,0.16850509140035186,0.9990965877258017,3.8974483013153076
2,Random Minimum,9.2,0.8366600265340756,8.0,10.0,12.2,0.8366600265340756,0.0558396399996127,0.03195737908100269,501.0,0.0,100.0,0.9998219954565855,0.0026166439056396484,0.04528837271273273,0.9999114513086189,4.160290479660034
3,Best-Trajectory Teacher,9.2,0.8366600265340756,8.0,10.0,12.2,0.8366600265340756,0.04149276000098325,0.0012890482456239718,501.0,0.0,100.0,0.9999956472524281,0.0006166439056396484,0.007076666867510615,0.999997830833197,4.168354272842407
4,Random Top-3 Mean,9.6,1.6733200530681511,8.0,12.0,12.6,1.6733200530681511,0.0413756599984481,0.002346769998824698,501.0,0.0,100.0,0.9994305474327528,0.017611351013183594,0.08124982634487546,0.9997245553141418,4.734757661819458
5,Random Top-5 Mean,9.6,0.8944271909999159,9.0,11.0,12.6,0.8944271909999159,0.04187511999916751,0.00046292842523838155,501.0,0.0,100.0,0.9989440641496671,0.042456809997558596,0.11134641537892788,0.9994813043740477,4.214688062667847
