seed,arm,iteration,best_cnot,best_depth,is_valid,logical_ok,x_syndrome,z_syndrome,runtime_s,first_valid_iteration,first_best_iteration
1002,ValueNet,200,191,231,True,True,0.0,0.0,20.88074970000889,100,200
1002,ValueNet,300,183,223,True,True,0.0,0.0,31.357124900008785,100,300
1002,ValueNet,400,183,223,True,True,0.0,0.0,41.89629529998638,100,300
1002,ValueNet,500,183,223,True,True,0.0,0.0,52.978032099985285,100,300
1002,ValueNet,600,183,223,True,True,0.0,0.0,64.08257359999698,100,300
1002,ValueNet,700,183,223,True,True,0.0,0.0,75.24622189998627,100,300
1002,ValueNet,800,183,223,True,True,0.0,0.0,86.6527708999929,100,300
1002,ValueNet,900,183,223,True,True,0.0,0.0,97.86073759998544,100,300
1002,ValueNet,1000,183,223,True,True,0.0,0.0,108.96955760000856,100,300
1003,ValueNet,100,175,215,True,True,0.0,0.0,10.184885099995881,100,100
1003,ValueNet,200,175,215,True,True,0.0,0.0,20.33829740001238,100,100
1003,ValueNet,300,175,215,True,True,0.0,0.0,30.57533650001278,100,100
1003,ValueNet,400,175,215,True,True,0.0,0.0,40.82434220000869,100,100
1003,ValueNet,500,175,215,True,True,0.0,0.0,50.969579099997645,100,100
1003,ValueNet,600,175,215,True,True,0.0,0.0,62.97541850002017,100,100
1003,ValueNet,700,175,215,True,True,0.0,0.0,77.85462150000967,100,100
1003,ValueNet,800,175,215,True,True,0.0,0.0,91.63830479999888,100,100
1003,ValueNet,900,175,215,True,True,0.0,0.0,105.83462300000247,100,100
1003,ValueNet,1000,175,215,True,True,0.0,0.0,120.25468420001562,100,100
1004,ValueNet,100,202,242,True,True,0.0,0.0,12.620343100017635,100,100
1004,ValueNet,200,202,242,True,True,0.0,0.0,26.469920700008515,100,100
1004,ValueNet,300,202,242,True,True,0.0,0.0,40.916937300004065,100,100
1004,ValueNet,400,202,242,True,True,0.0,0.0,55.0788246000011,100,100
1004,ValueNet,500,202,242,True,True,0.0,0.0,68.34833170002094,100,100
1004,ValueNet,600,202,242,True,True,0.0,0.0,82.46036180001101,100,100
1004,ValueNet,700,202,242,True,True,0.0,0.0,95.13258190001943,100,100
1004,ValueNet,800,202,242,True,True,0.0,0.0,107.08661970001413,100,100
1004,ValueNet,900,202,242,True,True,0.0,0.0,119.39833880000515,100,100
1004,ValueNet,1000,202,242,True,True,0.0,0.0,132.7145262999984,100,100
