metric,baseline_mean,baseline_std,baseline_ci95_low,baseline_ci95_high,value_mean,value_std,value_ci95_low,value_ci95_high,delta_mean,delta_std,ci95_low,ci95_high,paired_t,paired_t_p,wilcoxon,wilcoxon_p,cohen_dz
cnot,36.5,0.7071067811865476,30.14689763191265,42.85310236808735,38.0,2.8284271247461903,12.587590527650612,63.41240947234939,1.5,3.5355339059327378,-30.265511840436737,33.26551184043674,0.6,0.6559582607547387,1.0,1.0,0.4242640687119285
depth,48.5,0.7071067811865476,42.14689763191265,54.85310236808735,50.0,2.8284271247461903,24.58759052765061,75.4124094723494,1.5,3.5355339059327378,-30.265511840436737,33.26551184043674,0.6,0.6559582607547387,1.0,1.0,0.4242640687119285
runtime_s,3.182256000000052,0.0038591059665918485,3.1475833085376483,3.216928691462456,3.7693051000096602,0.008323212512707635,3.6945240025411197,3.844086197478201,0.5870491000096081,0.012182318479299483,0.47759531107866376,0.6965028889405523,68.14899810928655,0.009340916285742204,0.0,0.5,48.18861869414573
