seed,arm,cnot,depth,runtime_s,is_valid,logical_ok,x_syndrome,z_syndrome,syndrome_error,first_valid_iteration,first_best_iteration,best_iteration,search_time,value_inference_time,simulation_time,node_count
1000,Baseline,36,48,3.1795272000017576,True,True,0.0,0.0,0.0,100,200,200,3.179385600000387,0.0,3.1113717000116594,201
1000,ValueNet,40,52,3.7751905000186525,True,True,0.0,0.0,0.0,100,200,200,3.775049299991224,3.696041999559384,0.0,201
1001,Baseline,37,49,3.1849847999983467,True,True,0.0,0.0,0.0,100,200,200,3.1847899999993388,0.0,3.117465900024399,201
1001,ValueNet,36,48,3.763419700000668,True,True,0.0,0.0,0.0,100,100,100,3.763158799993107,3.6842142999812495,0.0,201
